# PDOK Locatieserver woonplaats centroids (WGS84); CC0, Kadaster
place,municipality,province,lat,lon
Heythuysen,Leudal,Limburg,51.27247,5.87340
Hezingen,Tubbergen,Overijssel,52.43872,6.88298
Hiaure,Noardeast-Fryslân,Fryslân,53.35025,5.97343
Hichtum,Súdwest-Fryslân,Fryslân,53.08407,5.52105
Hidaard,Súdwest-Fryslân,Fryslân,53.07796,5.60236
Hierden,Harderwijk,Gelderland,52.35637,5.67653
Hieslum,Súdwest-Fryslân,Fryslân,53.00405,5.49052
Hijken,Midden-Drenthe,Drenthe,52.90154,6.48311
Hijum,Leeuwarden,Fryslân,53.28453,5.78015
Hilaard,Leeuwarden,Fryslân,53.16896,5.69945
Hillegom,Hillegom,Zuid-Holland,52.29677,4.57695
Hilvarenbeek,Hilvarenbeek,Noord-Brabant,51.49732,5.10905
Hilversum,Hilversum,Noord-Holland,52.22311,5.16804
Hindeloopen,Súdwest-Fryslân,Fryslân,52.93490,5.33788
Hinnaard,Súdwest-Fryslân,Fryslân,53.11751,5.63696
Hippolytushoef,Hollands Kroon,Noord-Holland,52.91168,4.98183
Hitzum,Waadhoeke,Fryslân,53.16404,5.51817
Hobrede,Edam-Volendam,Noord-Holland,52.54541,4.98552
Hoedekenskerke,Borsele,Zeeland,51.42607,3.92491
Hoef en Haag,Vijfheerenlanden,Utrecht,51.98900,5.11957
Hoek,Terneuzen,Zeeland,51.32010,3.77458
Hoek van Holland,Rotterdam,Zuid-Holland,51.97983,4.12347
Hoenderloo,Apeldoorn,Gelderland,52.12550,5.90858
Hoenderloo,Ede,Gelderland,52.11273,5.85679
Hoensbroek,Heerlen,Limburg,50.91891,5.92528
Hoenzadriel,Maasdriel,Gelderland,51.74983,5.31841
Hoevelaken,Nijkerk,Gelderland,52.17842,5.46004
Hoeven,Halderberge,Noord-Brabant,51.59702,4.57687
Hoge Hexel,Wierden,Overijssel,52.39633,6.55263
Hollandsche Rading,De Bilt,Utrecht,52.17702,5.17230
Hollandscheveld,Hoogeveen,Drenthe,52.69672,6.54238
Hollum,Ameland,Fryslân,53.41964,5.62852
Holsloot,Coevorden,Drenthe,52.71930,6.80629
Holten,Rijssen-Holten,Overijssel,52.28711,6.40397
Holthees,Land van Cuijk,Noord-Brabant,51.57804,6.00506
Holtheme,Hardenberg,Overijssel,52.61292,6.70879
Holthone,Hardenberg,Overijssel,52.63614,6.68236
Holtum,Sittard-Geleen,Limburg,51.04731,5.82246
Holwert,Noardeast-Fryslân,Fryslân,53.37893,5.88832
Holwierde,Eemsdelta,Groningen,53.36372,6.87645
Hommerts,Súdwest-Fryslân,Fryslân,52.97795,5.65837
Homoet,Overbetuwe,Gelderland,51.93363,5.78143
Honselersdijk,Westland,Zuid-Holland,52.00549,4.23577
Hoofddorp,Haarlemmermeer,Noord-Holland,52.30530,4.68482
Hoofdplaat,Sluis,Zeeland,51.38030,3.64752
Hoog Soeren,Apeldoorn,Gelderland,52.21223,5.86240
Hoog-Keppel,Bronckhorst,Gelderland,52.00393,6.20034
Hoogblokland,Molenlanden,Zuid-Holland,51.88127,4.97625
Hooge Mierde,Reusel-De Mierden,Noord-Brabant,51.39003,5.11332
Hooge Zwaluwe,Drimmelen,Noord-Brabant,51.68884,4.74691
Hoogeloon,Bladel,Noord-Brabant,51.39955,5.27196
Hoogenweg,Hardenberg,Overijssel,52.56840,6.65979
Hoogerheide,Woensdrecht,Noord-Brabant,51.43927,4.33085
Hoogersmilde,Midden-Drenthe,Drenthe,52.90254,6.39372
Hoogersmilde,Westerveld,Drenthe,52.91220,6.36639
Hoogeveen,Hoogeveen,Drenthe,52.71824,6.47409
Hoogezand,Midden-Groningen,Groningen,53.14368,6.76665
Hooghalen,Midden-Drenthe,Drenthe,52.92110,6.53770
Hoogkarspel,Drechterland,Noord-Holland,52.68969,5.17688
Hoogland,Amersfoort,Utrecht,52.19219,5.34976
Hooglanderveen,Amersfoort,Utrecht,52.18719,5.42978
Hoogmade,Kaag en Braassem,Zuid-Holland,52.16499,4.58389
Hoogvliet Rotterdam,Rotterdam,Zuid-Holland,51.86223,4.36337
Hoogwoud,Opmeer,Noord-Holland,52.72334,4.94193
Hoorn,Hoorn,Noord-Holland,52.62273,5.07169
Hoorn,Terschelling,Fryslân,53.40841,5.34503
Hoornaar,Molenlanden,Zuid-Holland,51.87333,4.93882
Hoornsterzwaag,Heerenveen,Fryslân,53.00262,6.17253
Horn,Leudal,Limburg,51.21439,5.93263
Hornhuizen,Het Hogeland,Groningen,53.39693,6.34144
Horssen,Druten,Gelderland,51.85378,5.60937
Horst,Horst aan de Maas,Limburg,51.46026,6.05834
Houten,Houten,Utrecht,52.03035,5.16242
Houtigehage,Smallingerland,Fryslân,53.14821,6.14462
Houwerzijl,Het Hogeland,Groningen,53.33318,6.33842
Huijbergen,Woensdrecht,Noord-Brabant,51.43498,4.37530
Huis ter Heide,Noordenveld,Drenthe,53.01764,6.47721
Huis ter Heide,Zeist,Utrecht,52.11812,5.26182
Huisduinen,Den Helder,Noord-Holland,52.94707,4.72491
Huisseling,Oss,Noord-Brabant,51.78456,5.63830
Huissen,Lingewaard,Gelderland,51.93412,5.93671
Huizen,Huizen,Noord-Holland,52.29865,5.24206
Huizinge,Eemsdelta,Groningen,53.34817,6.66995
Hulsberg,Beekdaelen,Limburg,50.89206,5.85649
Hulsel,Reusel-De Mierden,Noord-Brabant,51.38808,5.17816
Hulshorst,Nunspeet,Gelderland,52.35739,5.72861
Hulst,Hulst,Zeeland,51.28608,4.03329
Hulten,Gilze en Rijen,Noord-Brabant,51.58075,4.95962
Hummelo,Bronckhorst,Gelderland,52.00572,6.24761
Hunsel,Leudal,Limburg,51.18784,5.81177
Hurdegaryp,Tytsjerksteradiel,Fryslân,53.21464,5.95219
Hurwenen,Maasdriel,Gelderland,51.81232,5.30296
Húns,Leeuwarden,Fryslân,53.16394,5.66938
IJhorst,Staphorst,Overijssel,52.65027,6.29964
IJlst,Súdwest-Fryslân,Fryslân,53.00875,5.62746
IJmuiden,Velsen,Noord-Holland,52.45555,4.57783
IJsselham,Steenwijkerland,Overijssel,52.80671,5.96268
IJsselmuiden,Kampen,Overijssel,52.56597,5.94845
IJsselstein,IJsselstein,Utrecht,52.02771,5.02879
IJzendijke,Sluis,Zeeland,51.32096,3.62184
IJzendoorn,Neder-Betuwe,Gelderland,51.90813,5.53018
Idaerd,Leeuwarden,Fryslân,53.11761,5.81730
Idsegahuizum,Súdwest-Fryslân,Fryslân,53.04403,5.42179
Idskenhuizen,De Fryske Marren,Fryslân,52.92644,5.70736
Idzega,Súdwest-Fryslân,Fryslân,52.97759,5.56115
Ie,Noardeast-Fryslân,Fryslân,53.33881,6.10445
Iens,Súdwest-Fryslân,Fryslân,53.12600,5.61249
Ilpendam,Waterland,Noord-Holland,52.46439,4.96284
Indijk,Súdwest-Fryslân,Fryslân,52.94890,5.60345
Ingber,Gulpen-Wittem,Limburg,50.81851,5.86498
Ingelum,Waadhoeke,Fryslân,53.22591,5.71885
Ingen,Buren,Gelderland,51.96236,5.48122
Ingwierrum,Noardeast-Fryslân,Fryslân,53.32641,6.14806
It Heidenskip,Súdwest-Fryslân,Fryslân,52.94871,5.49835
Itens,Súdwest-Fryslân,Fryslân,53.10410,5.64607
Ittervoort,Leudal,Limburg,51.17602,5.82636
Jaarsveld,Lopik,Utrecht,51.97107,4.97569
Jabeek,Beekdaelen,Limburg,50.97845,5.94999
Jannum,Noardeast-Fryslân,Fryslân,53.31351,5.90959
Jellum,Leeuwarden,Fryslân,53.16615,5.74418
Jelsum,Leeuwarden,Fryslân,53.23305,5.79626
Jirnsum,Leeuwarden,Fryslân,53.07088,5.78384
Jislum,Noardeast-Fryslân,Fryslân,53.30938,5.87472
Jisp,Wormerland,Noord-Holland,52.51093,4.85476
Jistrum,Tytsjerksteradiel,Fryslân,53.21133,6.05350
Jonkerslân,Opsterland,Fryslân,52.97486,6.03616
Jonkersvaart,Westerkwartier,Groningen,53.13168,6.31322
Joppe,Lochem,Gelderland,52.20551,6.24385
Jorwert,Leeuwarden,Fryslân,53.14675,5.70463
Joure,De Fryske Marren,Fryslân,52.97551,5.80353
Jouswier,Noardeast-Fryslân,Fryslân,53.34649,6.07321
Jubbega,Heerenveen,Fryslân,52.97928,6.11940
Julianadorp,Den Helder,Noord-Holland,52.89826,4.74475
Jutrijp,Súdwest-Fryslân,Fryslân,52.99659,5.65453
Kaag,Kaag en Braassem,Zuid-Holland,52.21413,4.57323
Kaard,Terschelling,Fryslân,53.37786,5.26789
Kaatsheuvel,Loon op Zand,Noord-Brabant,51.65702,5.04320
Kalenberg,Steenwijkerland,Overijssel,52.78134,5.95947
Kallenkote,Steenwijkerland,Overijssel,52.79585,6.17210
Kamerik,Woerden,Utrecht,52.12638,4.89704
Kampen,Kampen,Overijssel,52.58192,5.88535
Kamperland,Noord-Beveland,Zeeland,51.57164,3.70079
Kamperveen,Kampen,Overijssel,52.50613,5.92917
Kantens,Het Hogeland,Groningen,53.36658,6.63691
Kapel Avezaath,Tiel,Gelderland,51.88332,5.38172
Kapel-Avezaath,Buren,Gelderland,51.88557,5.35300
Kapelle,Kapelle,Zeeland,51.47873,3.95908
Kapellebrug,Hulst,Zeeland,51.25156,4.06107
Katlijk,Heerenveen,Fryslân,52.93913,6.02626
Kats,Noord-Beveland,Zeeland,51.56962,3.89697
Kattendijke,Goes,Zeeland,51.51891,3.94818
Katwijk,Katwijk,Zuid-Holland,52.19780,4.40210
Katwijk NB,Land van Cuijk,Noord-Brabant,51.75099,5.86098
Katwoude,Waterland,Noord-Holland,52.47630,5.04550
Kedichem,Vijfheerenlanden,Utrecht,51.87393,5.04509
Keent,Oss,Noord-Brabant,51.77190,5.69034
Keijenborg,Bronckhorst,Gelderland,52.02980,6.29311
Kekerdom,Berg en Dal,Gelderland,51.86006,6.00663
Kelpen-Oler,Leudal,Limburg,51.22331,5.83035
Kerk Avezaath,Tiel,Gelderland,51.89046,5.39331
Kerk-Avezaath,Buren,Gelderland,51.90176,5.37679
Kerkdriel,Maasdriel,Gelderland,51.77341,5.33065
Kerkenveld,De Wolden,Drenthe,52.66129,6.49671
Kerkrade,Kerkrade,Limburg,50.86779,6.04890
Kerkwerve,Schouwen-Duiveland,Zeeland,51.66950,3.84997
Kerkwijk,Zaltbommel,Gelderland,51.77982,5.20987
Kessel,Peel en Maas,Limburg,51.29621,6.04206
Kesteren,Neder-Betuwe,Gelderland,51.93413,5.57343
Kiel-Windeweer,Midden-Groningen,Groningen,53.11203,6.77425
Kilder,Montferland,Gelderland,51.93303,6.23576
Kimswerd,Súdwest-Fryslân,Fryslân,53.14097,5.43139
Kinderdijk,Molenlanden,Zuid-Holland,51.88364,4.64178
Kinnum,Terschelling,Fryslân,53.37480,5.27602
Klaaswaal,Hoeksche Waard,Zuid-Holland,51.76835,4.45478
Klarenbeek,Apeldoorn,Gelderland,52.17115,6.03261
Klarenbeek,Voorst,Gelderland,52.17491,6.08049
Klazienaveen,Emmen,Drenthe,52.71245,6.99448
Klazienaveen-Noord,Emmen,Drenthe,52.76008,6.99250
Klein Zundert,Zundert,Noord-Brabant,51.49147,4.63167
Klijndijk,Borger-Odoorn,Drenthe,52.83047,6.85495
Klimmen,Voerendaal,Limburg,50.88025,5.89125
Kloetinge,Goes,Zeeland,51.50245,3.92334
Kloetinge,Kapelle,Zeeland,51.47712,3.92017
Klooster Lidlum,Waadhoeke,Fryslân,53.22513,5.52555
Kloosterburen,Het Hogeland,Groningen,53.40175,6.39806
Kloosterhaar,Hardenberg,Overijssel,52.50756,6.68318
Kloosterhaar,Twenterand,Overijssel,52.49216,6.66895
Kloosterzande,Hulst,Zeeland,51.36856,4.05997
Klundert,Moerdijk,Noord-Brabant,51.66781,4.53375
Knegsel,Eersel,Noord-Brabant,51.39486,5.33791
Koarnjum,Leeuwarden,Fryslân,53.24338,5.78179
Kockengen,Stichtse Vecht,Utrecht,52.15242,4.94996
Koedijk,Alkmaar,Noord-Holland,52.67542,4.75820
Koedijk,Dijk en Waard,Noord-Holland,52.68680,4.75374
Koekange,De Wolden,Drenthe,52.70169,6.32841
Koewacht,Terneuzen,Zeeland,51.23888,3.95604
Kolderwolde,De Fryske Marren,Fryslân,52.89568,5.49782
Kolham,Midden-Groningen,Groningen,53.18444,6.74424
Kolhorn,Hollands Kroon,Noord-Holland,52.79294,4.89410
Kollum,Noardeast-Fryslân,Fryslân,53.28558,6.15444
Kollumerpomp,Noardeast-Fryslân,Fryslân,53.32036,6.19118
Kollumersweach,Noardeast-Fryslân,Fryslân,53.26597,6.07066
Kommerzijl,Westerkwartier,Groningen,53.29451,6.31285
Koningsbosch,Echt-Susteren,Limburg,51.06052,5.94625
Koningslust,Peel en Maas,Limburg,51.35806,5.99285
Koog aan de Zaan,Zaanstad,Noord-Holland,52.46190,4.79987
Kootstertille,Achtkarspelen,Fryslân,53.22086,6.09306
Kootwijk,Barneveld,Gelderland,52.17254,5.75968
Kootwijkerbroek,Barneveld,Gelderland,52.15374,5.67641
Kornhorn,Westerkwartier,Groningen,53.17945,6.24419
Kornwerderzand,Súdwest-Fryslân,Fryslân,53.06808,5.32854
Kortehemmen,Smallingerland,Fryslân,53.07883,6.07604
Kortenhoef,Wijdemeren,Noord-Holland,52.23021,5.08975
Kortgene,Noord-Beveland,Zeeland,51.56174,3.81090
Koudekerk aan den Rijn,Alphen aan den Rijn,Zuid-Holland,52.14210,4.59544
Koudekerke,Veere,Zeeland,51.48155,3.55145
Koudum,Súdwest-Fryslân,Fryslân,52.91829,5.45599
Koufurderrige,Súdwest-Fryslân,Fryslân,52.95081,5.66751
Krabbendijke,Reimerswaal,Zeeland,51.44950,4.11702
Kraggenburg,Noordoostpolder,Flevoland,52.64929,5.92218
Kreileroord,Hollands Kroon,Noord-Holland,52.84222,5.08258
Krewerd,Eemsdelta,Groningen,53.35197,6.84313
Krimpen aan de Lek,Krimpenerwaard,Zuid-Holland,51.89994,4.61813
Krimpen aan den IJssel,Krimpen aan den IJssel,Zuid-Holland,51.91470,4.60210
Kring van Dorth,Lochem,Gelderland,52.22738,6.32255
Krommenie,Zaanstad,Noord-Holland,52.50686,4.76153
Kronenberg,Horst aan de Maas,Limburg,51.41484,5.98607
Kropswolde,Midden-Groningen,Groningen,53.14137,6.71360
Kruiningen,Reimerswaal,Zeeland,51.44637,4.03891
Kruisland,Steenbergen,Noord-Brabant,51.57208,4.40223
Kudelstaart,Aalsmeer,Noord-Holland,52.23702,4.73985
Kuinre,Steenwijkerland,Overijssel,52.79809,5.83790
Kuitaart,Hulst,Zeeland,51.32897,4.04391
Kwadendamme,Borsele,Zeeland,51.43502,3.87694
Kwadijk,Edam-Volendam,Noord-Holland,52.53215,4.98532
Kwintsheul,Westland,Zuid-Holland,52.01377,4.26164
Kûbaard,Súdwest-Fryslân,Fryslân,53.12201,5.56697
Laag Zuthem,Raalte,Overijssel,52.45923,6.18182
Laag-Keppel,Bronckhorst,Gelderland,51.98911,6.19659
Laag-Soeren,Rheden,Gelderland,52.07059,6.05410
Lage Mierde,Reusel-De Mierden,Noord-Brabant,51.41427,5.15083
Lage Vuursche,Baarn,Utrecht,52.18599,5.22518
Lage Zwaluwe,Drimmelen,Noord-Brabant,51.70314,4.69731
Lageland,Midden-Groningen,Groningen,53.24436,6.71764
Lageland GN,Groningen,Groningen,53.24276,6.68735
Lambertschaag,Medemblik,Noord-Holland,52.74641,5.01669
Lamswaarde,Hulst,Zeeland,51.34223,4.05334
Landerum,Terschelling,Fryslân,53.38282,5.30174
Landgraaf,Landgraaf,Limburg,50.90643,6.03299
Landhorst,Land van Cuijk,Noord-Brabant,51.61982,5.78117
Landsmeer,Landsmeer,Noord-Holland,52.44574,4.92858
Langbroek,Wijk bij Duurstede,Utrecht,52.00328,5.35005
Langedijke,Ooststellingwerf,Fryslân,52.96291,6.27596
Langelille,Weststellingwerf,Fryslân,52.84078,5.84383
Langelo,Noordenveld,Drenthe,53.09515,6.45062
Langenboom,Land van Cuijk,Noord-Brabant,51.70510,5.73133
Langerak,Molenlanden,Zuid-Holland,51.93028,4.90556
Langeveen,Tubbergen,Overijssel,52.45881,6.72540
Langeweg,Moerdijk,Noord-Brabant,51.64481,4.66063
Langezwaag,Opsterland,Fryslân,52.98715,6.00747
Langweer,De Fryske Marren,Fryslân,52.96535,5.71426
Laren,Laren,Noord-Holland,52.24718,5.21707
Laren,Lochem,Gelderland,52.20264,6.38208
Lathum,Zevenaar,Gelderland,51.99052,6.03532
Lattrop-Breklenkamp,Dinkelland,Overijssel,52.43445,6.98638
Lauwersoog,Het Hogeland,Groningen,53.38926,6.23590
Lauwerzijl,Westerkwartier,Groningen,53.31799,6.31004
Ledeacker,Land van Cuijk,Noord-Brabant,51.63542,5.86304
Leek,Westerkwartier,Groningen,53.16357,6.37777
Leende,Heeze-Leende,Noord-Brabant,51.33361,5.53267
Leens,Het Hogeland,Groningen,53.36385,6.38626
Leerbroek,Vijfheerenlanden,Utrecht,51.91748,5.04052
Leerdam,Vijfheerenlanden,Utrecht,51.90542,5.09096
Leermens,Eemsdelta,Groningen,53.35329,6.80262
Leersum,Utrechtse Heuvelrug,Utrecht,52.02294,5.43228
Leeuwarden,Leeuwarden,Fryslân,53.20066,5.80309
Legemeer,De Fryske Marren,Fryslân,52.93786,5.73137
Leiden,Leiden,Zuid-Holland,52.15498,4.48512
Leiderdorp,Leiderdorp,Zuid-Holland,52.15665,4.54201
Leidschendam,Leidschendam-Voorburg,Zuid-Holland,52.09335,4.43490
Leimuiden,Kaag en Braassem,Zuid-Holland,52.21865,4.69014
Leimuiderbrug,Haarlemmermeer,Noord-Holland,52.23526,4.66402
Lekkerkerk,Krimpenerwaard,Zuid-Holland,51.91073,4.69500
Lekkum,Leeuwarden,Fryslân,53.22489,5.83091
Lellens,Groningen,Groningen,53.29908,6.70731
Lelystad,Lelystad,Flevoland,52.54273,5.37476
Lemele,Ommen,Overijssel,52.45774,6.41371
Lemelerveld,Dalfsen,Overijssel,52.44538,6.33436
Lemiers,Vaals,Limburg,50.78335,5.98343
Lemmer,De Fryske Marren,Fryslân,52.83890,5.64769
Lengel,Montferland,Gelderland,51.88761,6.26715
Lent,Nijmegen,Gelderland,51.86446,5.86205
Leons,Leeuwarden,Fryslân,53.15159,5.67964
Lepelstraat,Bergen op Zoom,Noord-Brabant,51.55216,4.26392
Lettelbert,Westerkwartier,Groningen,53.19356,6.41798
Lettele,Deventer,Overijssel,52.27752,6.27671
Leunen,Venray,Limburg,51.50036,5.98410
Leur,Wijchen,Gelderland,51.82294,5.69082
Leusden,Leusden,Utrecht,52.11689,5.40477
Leuth,Berg en Dal,Gelderland,51.84385,5.98944
Leutingewolde,Noordenveld,Drenthe,53.16010,6.42760
Leuvenheim,Brummen,Gelderland,52.07511,6.13060
Leveroy,Nederweert,Limburg,51.25516,5.82654
Lewedorp,Borsele,Zeeland,51.48834,3.74503
Lexmond,Vijfheerenlanden,Utrecht,51.95337,5.01931
Lichtaard,Noardeast-Fryslân,Fryslân,53.32563,5.91888
Lichtenvoorde,Oost Gelre,Gelderland,51.98976,6.56530
Liempde,Boxtel,Noord-Brabant,51.56437,5.37112
Lienden,Buren,Gelderland,51.94400,5.52854
Lierderholthuis,Raalte,Overijssel,52.43869,6.18699
Lieren,Apeldoorn,Gelderland,52.15565,6.00885
Lierop,Someren,Noord-Brabant,51.42283,5.66700
Lies,Terschelling,Fryslân,53.40553,5.32718
Lieshout,Laarbeek,Noord-Brabant,51.51701,5.58938
Liessel,Deurne,Noord-Brabant,51.41419,5.83597
Lievelde,Oost Gelre,Gelderland,52.01545,6.59340
Lieveren,Noordenveld,Drenthe,53.11234,6.46567
Lijnden,Haarlemmermeer,Noord-Holland,52.34442,4.74366
Limbricht,Sittard-Geleen,Limburg,51.01821,5.84020
Limmen,Castricum,Noord-Holland,52.56559,4.69765
Linde,De Wolden,Drenthe,52.63459,6.46931
Linden,Land van Cuijk,Noord-Brabant,51.74795,5.81736
Linne,Maasgouw,Limburg,51.15772,5.93147
Linschoten,Montfoort,Utrecht,52.06200,4.91597
Lippenhuizen,Opsterland,Fryslân,53.02089,6.09943
Lisse,Lisse,Zuid-Holland,52.25555,4.54584
Lisserbroek,Haarlemmermeer,Noord-Holland,52.25355,4.57756
Lith,Oss,Noord-Brabant,51.79776,5.42333
Lithoijen,Oss,Noord-Brabant,51.79031,5.46415
Ljussens,Noardeast-Fryslân,Fryslân,53.38958,6.10196
Lobith,Zevenaar,Gelderland,51.86556,6.12512
Lochem,Lochem,Gelderland,52.15990,6.41284
Loenen,Apeldoorn,Gelderland,52.10966,6.00754
Loenen aan de Vecht,Stichtse Vecht,Utrecht,52.22308,5.01872
Loenersloot,Stichtse Vecht,Utrecht,52.22311,4.99652
Loerbeek,Montferland,Gelderland,51.92537,6.20557
Lollum,Súdwest-Fryslân,Fryslân,53.12747,5.52543
Lomm,Venlo,Limburg,51.45433,6.19284
Longerhouw,Súdwest-Fryslân,Fryslân,53.06947,5.47644
Loo Gld,Duiven,Gelderland,51.93006,5.98611
Loo Gld,Lingewaard,Gelderland,51.93327,5.96669
Loon,Assen,Drenthe,53.01876,6.61406
Loon op Zand,Loon op Zand,Noord-Brabant,51.62860,5.06975
Loosbroek,Bernheze,Noord-Brabant,51.67493,5.51049
Loosdrecht,Wijdemeren,Noord-Holland,52.20051,5.08511
Loozen,Hardenberg,Overijssel,52.58864,6.67159
Lopik,Lopik,Utrecht,51.97153,4.93560
Lopikerkapel,Lopik,Utrecht,51.98766,5.03273
Loppersum,Eemsdelta,Groningen,53.33012,6.73908
Losdorp,Eemsdelta,Groningen,53.37341,6.83659
Losser,Losser,Overijssel,52.26527,6.99657
Lottum,Horst aan de Maas,Limburg,51.45521,6.13924
Loënga,Súdwest-Fryslân,Fryslân,53.05298,5.66881
Lucaswolde,Westerkwartier,Groningen,53.18319,6.29687
Luddeweer,Midden-Groningen,Groningen,53.24967,6.73879
Luinjeberd,Heerenveen,Fryslân,53.00769,5.91820
Lunteren,Ede,Gelderland,52.10104,5.61841
Lutjebroek,Stede Broec,Noord-Holland,52.70029,5.20189
Lutjegast,Westerkwartier,Groningen,53.23837,6.25733
Lutjewinkel,Hollands Kroon,Noord-Holland,52.77372,4.88865
Luttelgeest,Noordoostpolder,Flevoland,52.75320,5.85111
Lutten,Hardenberg,Overijssel,52.61900,6.58513
Luttenberg,Raalte,Overijssel,52.40570,6.36520
Luxwoude,Opsterland,Fryslân,52.99627,5.98235
Luyksgestel,Bergeijk,Noord-Brabant,51.28001,5.30448
Lytsewierrum,Súdwest-Fryslân,Fryslân,53.08208,5.66448
Maarheeze,Cranendonck,Noord-Brabant,51.31979,5.63316
Maarn,Utrechtse Heuvelrug,Utrecht,52.06558,5.36494
Maarsbergen,Utrechtse Heuvelrug,Utrecht,52.05290,5.40866
Maarssen,Stichtse Vecht,Utrecht,52.14076,5.04440
Maartensdijk,De Bilt,Utrecht,52.15745,5.17630
Maasbommel,West Maas en Waal,Gelderland,51.83548,5.52506
Maasbracht,Maasgouw,Limburg,51.14769,5.89872
Maasbree,Peel en Maas,Limburg,51.36521,6.04628
Maasdam,Hoeksche Waard,Zuid-Holland,51.78712,4.54835
Maasdijk,Westland,Zuid-Holland,51.95698,4.21249
Maashees,Land van Cuijk,Noord-Brabant,51.57146,6.02877
Maasland,Midden-Delfland,Zuid-Holland,51.94486,4.28021
Maassluis,Maassluis,Zuid-Holland,51.92520,4.24887
Maastricht,Maastricht,Limburg,50.85297,5.69953
Maastricht-Airport,Beek,Limburg,50.91571,5.77755
Maasvlakte Rotterdam,Rotterdam,Zuid-Holland,51.95631,4.01375
Macharen,Oss,Noord-Brabant,51.80054,5.53895
Made,Drimmelen,Noord-Brabant,51.68263,4.80167
Makkinga,Ooststellingwerf,Fryslân,52.97714,6.22576
Makkum,Súdwest-Fryslân,Fryslân,53.00532,5.29398
Malden,Heumen,Gelderland,51.79144,5.85731
Mander,Tubbergen,Overijssel,52.44445,6.82338
Manderveen,Tubbergen,Overijssel,52.44917,6.78226
Mantgum,Leeuwarden,Fryslân,53.12780,5.71972
Mantinge,Midden-Drenthe,Drenthe,52.79420,6.60593
Maren-Kessel,Oss,Noord-Brabant,51.77762,5.39078
Margraten,Eijsden-Margraten,Limburg,50.82249,5.81628
Maria Hoop,Echt-Susteren,Limburg,51.09733,5.97600
Mariahout,Laarbeek,Noord-Brabant,51.54406,5.57008
Mariaparochie,Tubbergen,Overijssel,52.38032,6.70679
Marijenkampen,Steenwijkerland,Overijssel,52.81544,6.05709
Mariënberg,Hardenberg,Overijssel,52.51017,6.58186
Mariënheem,Raalte,Overijssel,52.38009,6.32158
Mariënvelde,Oost Gelre,Gelderland,52.01044,6.47857
Markelo,Hof van Twente,Overijssel,52.23536,6.51337
Marken,Waterland,Noord-Holland,52.44492,5.11540
Markenbinnen,Alkmaar,Noord-Holland,52.52854,4.78735
Marknesse,Noordoostpolder,Flevoland,52.70447,5.89035
Marle,Olst-Wijhe,Overijssel,52.41472,6.12351
Marrum,Noardeast-Fryslân,Fryslân,53.34034,5.75758
Marsum,Waadhoeke,Fryslân,53.20856,5.71528
Marum,Westerkwartier,Groningen,53.13827,6.24069
Marwijksoord,Aa en Hunze,Drenthe,52.95992,6.64626
Mastenbroek,Kampen,Overijssel,52.56319,5.99608
Mastenbroek,Zwartewaterland,Overijssel,52.57788,6.04545
Matsloot,Noordenveld,Drenthe,53.19253,6.47225
Maurik,Buren,Gelderland,51.95716,5.41535
Mechelen,Gulpen-Wittem,Limburg,50.78950,5.92065
Medemblik,Medemblik,Noord-Holland,52.82825,5.17837
Meeden,Midden-Groningen,Groningen,53.14421,6.92692
Meedhuizen,Eemsdelta,Groningen,53.29237,6.92128
Meerkerk,Vijfheerenlanden,Utrecht,51.92204,4.98347
Meerlo,Horst aan de Maas,Limburg,51.51132,6.08763
Meerssen,Meerssen,Limburg,50.88392,5.76122
Meerstad,Groningen,Groningen,53.22742,6.66007
Meeuwen,Altena,Noord-Brabant,51.72695,5.00960
Megchelen,Oude IJsselstreek,Gelderland,51.84597,6.38294
Megen,Oss,Noord-Brabant,51.81730,5.56371
Meijel,Peel en Maas,Limburg,51.33641,5.87807
Melderslo,Horst aan de Maas,Limburg,51.46384,6.08989
Melick,Roerdalen,Limburg,51.15595,6.02009
Meliskerke,Veere,Zeeland,51.52054,3.52070
Melissant,Goeree-Overflakkee,Zuid-Holland,51.77164,4.06216
Menaam,Waadhoeke,Fryslân,53.21565,5.66647
Mensingeweer,Het Hogeland,Groningen,53.34553,6.46113
Meppel,Meppel,Drenthe,52.70471,6.20167
Meppen,Coevorden,Drenthe,52.77688,6.66672
Merkelbeek,Beekdaelen,Limburg,50.95733,5.94081
Merselo,Venray,Limburg,51.53161,5.92118
Meteren,West Betuwe,Gelderland,51.86287,5.28721
Meterik,Horst aan de Maas,Limburg,51.45973,6.01263
Mheer,Eijsden-Margraten,Limburg,50.78095,5.79131
Middelaar,Mook en Middelaar,Limburg,51.73028,5.90119
Middelburg,Middelburg,Zeeland,51.50257,3.61590
Middelharnis,Goeree-Overflakkee,Zuid-Holland,51.75945,4.19773
Middelie,Edam-Volendam,Noord-Holland,52.53868,5.01848
Middelstum,Eemsdelta,Groningen,53.33860,6.63827
Middenbeemster,Purmerend,Noord-Holland,52.55042,4.92317
Middenmeer,Hollands Kroon,Noord-Holland,52.78818,4.99382
Midlaren,Tynaarlo,Drenthe,53.10835,6.67399
Midlum,Harlingen,Fryslân,53.18494,5.45096
Midsland,Terschelling,Fryslân,53.40085,5.27860
Midwolda,Oldambt,Groningen,53.19930,7.00020
Midwolde,Westerkwartier,Groningen,53.19403,6.38732
Midwoud,Medemblik,Noord-Holland,52.71501,5.06162
