# PDOK Locatieserver woonplaats centroids (WGS84); CC0, Kadaster
place,municipality,province,lat,lon
Blankenham,Steenwijkerland,Overijssel,52.76732,5.91126
Blaricum,Blaricum,Noord-Holland,52.28296,5.27423
Blauwestad,Oldambt,Groningen,53.17591,7.04983
Blauwhuis,Súdwest-Fryslân,Fryslân,53.02230,5.53826
Bleiswijk,Lansingerland,Zuid-Holland,52.02250,4.53452
Blesdijke,Weststellingwerf,Fryslân,52.83480,6.01311
Bleskensgraaf ca,Molenlanden,Zuid-Holland,51.86868,4.76748
Blessum,Waadhoeke,Fryslân,53.18141,5.70823
Blije,Noardeast-Fryslân,Fryslân,53.35547,5.86357
Blijham,Westerwolde,Groningen,53.11841,7.07842
Blitterswijck,Venray,Limburg,51.52677,6.11398
Bloemendaal,Bloemendaal,Noord-Holland,52.41065,4.61679
Blokker,Hoorn,Noord-Holland,52.66179,5.08942
Blokzijl,Steenwijkerland,Overijssel,52.72193,5.97828
Boarnwert,Noardeast-Fryslân,Fryslân,53.33436,5.96522
Boazum,Súdwest-Fryslân,Fryslân,53.09193,5.69710
Bocholtz,Simpelveld,Limburg,50.81723,6.00083
Bodegraven,Bodegraven-Reeuwijk,Zuid-Holland,52.09097,4.75980
Boekel,Boekel,Noord-Brabant,51.60601,5.67612
Boelenslaan,Achtkarspelen,Fryslân,53.15978,6.13405
Boer,Waadhoeke,Fryslân,53.21337,5.56322
Boerakker,Westerkwartier,Groningen,53.18838,6.32878
Boesingheliede,Haarlemmermeer,Noord-Holland,52.35284,4.72390
Boijl,Weststellingwerf,Fryslân,52.91466,6.19977
Boksum,Waadhoeke,Fryslân,53.17797,5.72964
Bolsward,Súdwest-Fryslân,Fryslân,53.06409,5.52457
Bontebok,Heerenveen,Fryslân,52.96133,6.04086
Boornbergum,Smallingerland,Fryslân,53.08285,6.03158
Boornzwaag,De Fryske Marren,Fryslân,52.97570,5.73246
Borculo,Berkelland,Gelderland,52.10613,6.51348
Borger,Borger-Odoorn,Drenthe,52.92609,6.77018
Borgercompagnie,Midden-Groningen,Groningen,53.13307,6.80761
Borgercompagnie,Veendam,Groningen,53.10866,6.82215
Borgsweer,Eemsdelta,Groningen,53.29006,7.00660
